Project ID,n_modules,n_entities,integ_simple,integ_complex,n_reports,n_cemli,n_dm_objects,duration_months,team_size,integ_coverage_ratio,dm_coverage_ratio,complexity,industry,deviation_pct,overrun_flag,Project Health
OFP-0001,2,2,13,13,23,34,10,28,35,0.9830246913580247,1.8107638888888886,H,BFSI,41.8,1,SMOOTH
OFP-0002,3,3,27,11,43,2,34,27,15,0.799776910206358,1.8635983263598326,M,BFSI,5.9,0,NORMAL
OFP-0003,4,8,8,5,115,2,25,22,25,2.0,1.5513095749248604,H,Logistics,29.9,1,CRITICAL
OFP-0004,3,3,34,10,42,35,5,13,25,1.1915444348576358,0.7994825355756792,L,Telecom,2.6,0,NORMAL
OFP-0005,3,8,39,14,26,8,35,27,18,1.2798850574712644,1.543103448275862,H,BFSI,57.7,1,TROUBLED
OFP-0006,2,8,35,5,110,30,31,16,14,2.0,0.8002049180327869,H,Logistics,25.2,1,NORMAL
OFP-0007,2,3,5,3,106,15,15,23,39,1.5235154394299286,1.3307198859586598,H,BFSI,14.2,1,TROUBLED
OFP-0008,2,12,10,15,33,4,9,17,33,0.7996781979082864,1.1364734299516908,M,Logistics,12.8,1,NORMAL
OFP-0009,3,5,11,3,78,13,37,18,16,1.1938559322033897,0.7996820349761526,L,Public Sector,4.5,0,SMOOTH
OFP-0010,5,1,26,14,26,16,15,24,35,1.213747037276449,0.7999353587588882,H,BFSI,9.0,0,SMOOTH
OFP-0011,2,1,26,14,62,15,22,15,14,2.0,0.8001116694584032,H,Retail,14.3,1,SMOOTH
OFP-0012,2,20,16,11,43,2,11,29,35,0.8003273322422259,1.18159509202454,M,Public Sector,11.1,1,TROUBLED
OFP-0013,3,2,24,12,62,20,30,19,16,1.179434896591902,1.6098733071210134,H,Public Sector,31.9,1,TROUBLED
OFP-0014,2,2,35,11,118,4,34,23,20,1.210865561694291,1.564917127071823,L,Healthcare,4.5,0,NORMAL
OFP-0015,6,5,35,9,43,15,22,26,39,1.0236235119047619,0.8049665178571429,H,Logistics,41.0,1,NORMAL
OFP-0016,2,2,29,15,116,26,39,27,22,0.8850251256281407,1.3286101899306602,VH,Professional Services,30.0,1,NORMAL
OFP-0017,4,8,22,14,116,26,21,12,38,0.8001621402513175,0.8589665653495442,M,Professional Services,22.3,1,NORMAL
OFP-0018,5,5,9,11,98,15,11,19,15,0.7999164578111946,0.800125313283208,M,Consumer Goods,7.5,0,SMOOTH
